,topic,link,headline
43,India,https://news.google.com/read/CBMioANBVV95cUxPN3VUU2VZR3NHZ3lDYkRpOU83Vlc4d3JMUUVSMzFHYU4xMkZKLTdrZDl2eXJySkdqSGxhVW5oT0EyWU5uMzNHNF9HeDdVVDVHY3BSTUVDa2JNVTVRMk84SmlibU5aSThLeGpzcl9tTHhfYXdJWU5CZ0VrVHlkekY4UDVPX3RRVmtIbjJIZXl1cHpydnZTSmpLVXlUaHVRV3ozaEdWSmRiWVdJZFF4S2p6ZFV4Wjh4WVpPVU5Bb3M1WHVEWnJtSnh1OEVpSXBZU2FjdGtCMlAzMzB0Ni1fdl80UGRhQWZST1BxSlprbDk4a3ByR2lPTWUwTGZ6U3BqX1UxcUt2eFZTeFRJcGpVcG54MWdOZ0QyZy1MNC1ySUlzZmdjeU85MC1JcnN0dGNKSkk5aUNxRjRfZUtxdXhfMEJOM0FWZTdmc3FEd0VFcEYzOUtta1FJUGhvdUEtelAyQ0tHeXBlZ0FGQmg4N3ZCSWNWUlJMRnFIM3hMZmF2LVh5RWV2dkZTMmY2VHlKX2JGOFJUZ1Nyd252Z2N4Mk9WcDlSMg?hl=en-IN&gl=IN&ceid=IN%3Aen,‘Party Of Terrorists’: Kharge’s On PM Modi's ‘Urban Naxal’ Jibe
44,Ent,https://news.google.com/read/CBMihgNBVV95cUxQVTRyTVFlM1pWVUE5YXJNUUNlbFdMdnFJR1IyNW9jQmxNS0JJTC1uRGtESEhwc1k1X2pVeVFGNXpiZnRsbXdlVkdSOU5EOUxyMS1TZ2pnMENzQzY1ZUN3Z0lHTGpIS2hobWpEWEJPODQ5cFhGZDhtV1dnR2VlQzlzc2ZDUzdyMmhIV0k5TFpjQTZyWTBLSUZlcnZlb1pXTndCc0dWR3o3OWhDdkNBbHBraXBxemU0c3ROY3B1QUpDcExtZVB2OFZJdnNjRGNQYlpQZ3B2WFZFUGJTbVBUdkUwMnRtRlpQdkVuSkEyaG42Y0JTdWhHaGI4RkFWbTJKLXhNalJwWnUydVB2clVmaC11UlVJNHp5bTdXbUtxSFV4REZqZ3gzMHplYVk1Nk55N2o1VEFhMkVQVFNqNWZfdzBabE1OZ3ZqSUhFM0hIU1Y0TFRKVFJRVFkzQnZnNmxiZXhqMHY5eWc5Mnk0c3pVSXA1a2d6Qi1WWUpYMkQwQ1d4dV91dzczc2c?hl=en-IN&gl=IN&ceid=IN%3Aen,Alia Bhatt Recalls Moments Before Raha's Paparazzi Debut
45,india,https://news.google.com/read/CBMikAVBVV95cUxPS2c2dHd5WHp6Q2FkQ3hHSGdpejNKVGs0X0VWMUllLUowcmFGVE83YnlnekJPdlpXc1VjelVvTlJMeW1KZEVQOG82RC1BSDVWTllVNVNROGtFMDZYdmZiYlpJZVZLWjZrR2pLbXl6TVZ5QjFFaV9jSWNCQ2lmdlhBQ2hfNmtiQ25uRzZzVTRGdm9Cc0dBVUNUVllpakNPaGhxUG9aWGd3ZDBWVFpWM1RaLWV4M2lSMzlTZVVPeElzU08waWk1WGVGYXRCTnRsek9zczg4WlBod09xTmk3eE1FVkpXeGdFMWhGSXU4UzVSdExFWXdXZmRUTUtsRmRWN2ZhVWdnMGNva0ozUUpVT2c3MWZyUGMyaVhrckc4d2o1MVkzVjN6TVNDajFYaUdnRzlycmhZREFKeVpwQUVVTmFBTWU1Q0thTE5pV2I3c2RLVm9JNi0tR21uYkJ2T2Radi1RSlgzakttemtONHViVjFFaW5wRnN6MzhHeWVjbVJsYjY1QjVVYlhIcU5TX05ndEdKNWR0dnJONnlTd3Vkcnl3UUxiU2QzMnVjNWdqeGdFeWpnUFFJTnYyVVNEam01a0t0Q04yVnVXRjJRRGJDajJUTGhtSTNCaThNRWJNdVNIdEI1bUJYS0VUV29IajgyckdVWGp5bFZIeTZOTE9VZE1mN1B2ZnViOFFhQUFUeV9PTGpoMjV5MmMtTUplc2hySTJ5T3ZCR3V4cTlWNjZyVFZZMUg3a2ZmbEhURXhVOXg1c25BWEZ5ZnA0WkFvNF9nendVOE1oRjVEa2tIWlJRT011RHhmZkZPMmJXUHh0aExkRlAySkdlUFBoUUptSG9QT0tYaFQ4N2V6ZWZZQlpZMkZKcA?hl=en-IN&gl=IN&ceid=IN%3Aen,NCP leader Baba Siddique succumbs to gunshot injuries; 'lost a g
46,india,https://news.google.com/read/CBMimwVBVV95cUxNZW5mb3BiU2tFYkZkNVpiek1rRkJKMUlzVkRmd3VmdjVXU0prdVg2MmtrWEpuV0ZncERHakctTU1YdDc0WEFKNjJuN0hWSFlvZEM1MEZDeVRLYURpSG0wRkRmVXlIX0xaelBXQjhIbl9iV1Uxd3V2MmFRaWlKMzRzRlFjQ2xYdGlPN21adzhoU2w3SjEwUWVCVVdtX1hmQ210RWhMRFI1bFY5elRtNVQwaVNxVFdMc2cxclprU29BbUgxbFlKdjY5TGljNDNnc2EwVjhuZlBxYXg2dVVDRTBWNFRyUjVHRkpXTlRFZERjQmNJV3N1eDBaRndNRjNSMUQwWlhabzBJbE9FLU51YXlaTlFHSzJiM2hsemJBTjVHVVNSQmpTSzF1UWxEVUdOOHJja2QtbkV0YzBYV1JKdkNveWFWTVliTDBSeWxnVENrY0o4VjE2MmxaOW9nLURSZlRJNzBJV1dNaXh6N0o5dlEwYndOdlItX0RORUhZUGN5c0FqN2lOQzVVX24wQ09vdC1XYVlLeHlkYWUxbHlrcE1Fczl0QjdoS3BPQ2d5cGszMEcxakx6VkdrTFJqbWstT05SOXdXYngtMnBPVFNXcFlpNzlIdTlQbG5CTXhJaWdPOTY2c1JUbzJrd3FHZi1HemV0Q25Ca1NUbVZmTEFOMDh4TXR1N3FDS0VQX0Rhb0VRSmpEOU5QQzdJcWFDV1RlNFIzZ083d0ZuVGp0UVBVYl9pQlZJallsbk91NWhTVWhFVVRZSF9CX2NpS0diVHVvS1h1WHdPNVdFbU91ZGdVc1E0YVU0Z200THRZN0lJXzZOd19kWTZGVnVFWGc4UU9xM18wTEJZbTQ4T1hFTE13dUZaQkg1UzQ2aUc2R2ZV?hl=en-IN&gl=IN&ceid=IN%3Aen,Centre eyes 1 million sites to harvest rainwater by next monsoon
47,india,https://news.google.com/read/CBMipwVBVV95cUxPWjVIRUZTTzl4ZGhFYTl6Rm1VQkh2dHd3MXk0bFFSSHpPWFRZQlhBVnR1V3F3dXRHUTdWVmUzRWhjMG5ELThtRUVGbVo0M19DeEdxalV0cEhSZndFb1JHaEVHMlcxWVlzSWE3bXpZVVl5a3hiOGlTNjdvRjl6ZnVzc1dZUkZIQ0tuc2xFLXQ0U0xrcl9zZG53b1NHNHBOcWttZ2hYLUtyaE43cy1POVU3NmFmUDhaUHd1bGpZejBpWnF4ekY0a2ZKbTVzTDZiM202T1FUMmhpOHNYSnY2NUZyYzdtQmp5RXdlTFhqbjUtZVBLTkUzbk9hNVRSa2M2N1AzbWZfZVowdDBhdWxhNlFMVTdwMWZILVNhRS1vZ1ZRUmV6b3J1ZWt3WHNPQ181bUlERkExbFpfTWtYR09EVkJjZDhuYVJLVWVGZjdJQURfYVhHYW5abHJQOUkybV9MREJSUlhHMjNOV0xma1d3LVRoMlBIZl9RY1p4ZVY5cVlSYUFFRHg2bWdvRFl4T0dVM3pXWHJOdkR6a3E3MzV5S1pOam9uQ3VsTHN0TjBfUFRGRk4xR3dQZGN3amg3YjFzN1FnVUdCT09jd25nWDhIY3dHTGVMUHZrdE5mSjdxdUwwVVlnVHUtbEVSMUE4TjI3U3ZaWGU4dEg3VENILXgxSWdsVmRydkcxZDl2VWVwMEtPNnUyOXFGYU4zRUo3azM5SjdjRjBGZXI1QS1fYmVrakFacm9FRnAwckZMNDNoSW1YZm12OUZDUWhsci1rVEpyMWhRVUNmczY0aU04MjFtTVZ3SjhUY2FzQmhuSnI2c2IxYWY2UkhFd3ZMSm5wTzF4eXFMVEhiRXI1TDVpYkN2Qjk3cGtLOHprRW5oOV9tY0R0VEQyaC1sR2pB?hl=en-IN&gl=IN&ceid=IN%3Aen,RSS chief Mohan Bhagwat: Hindus must take lessons from Banglades
48,Mumbai,https://news.google.com/read/CBMiqAJBVV95cUxQaXAtSjFVcGtxVmVYWUFqazNfYWNROUY1cFlLSmg2QXpGajZuaFo2UXQ2Q2Y4QWY5el81WGc2RDFtWVFsbUpqMDluT0FOOS02OTloY0hicTV3YUthMzZUdXhDY1pYTkgta3B4Z1hhMXZiLTBDcVRJYncxQTl0SGRXV1YtM041U0EtRlh2cE9ma09iVXY4eFZPNWVWTHFmS1RRRnJNV1VnX181UUhaMHh4TFM2WlRhamVzY29GLVNQLUhTVHBzSlVraFF3RmJETHBLTGlxSFNObWRLYWRtdUxZQVVFOVJXMHhqQ1BWWW5oZnBuMVBzNGhwejBidlJicGtyWW9fZXVNdEgxbTlSWU9mMzZ0QUYxcTItUGNPTVVYUnVMZ2Z4elVzZg?hl=en-IN&gl=IN&ceid=IN%3Aen,NCP leader Baba Siddique dies after being shot at in Mumbai
49,London,https://news.google.com/read/CBMirwJBVV95cUxObmxWc3V5NFJLckVZRDl2MVFIRnk1UzhmeU5Vb0I2ckVMWWpXZXBhTFFCX3M4NnJVTXJrMVNtdnhFTlhRbWRHbHl1VjNBbnAwRnZoN2ktVVVVbTUwNGJMajlkRWVGSkFWa0M3NHpuQVM2Tjg0cVJmSFktQ0lORGlkVk5pLWw3ZS1EdW50dUkwaHQ4TU1kN3dOcVkxQ01kNGEzV0tKNnVzQnRndGJuUGY5bk8yQk9Dc1J1ajFURW5uZUR0VFp3RVZWWmJOVnd0d2xwMUc4dk1jVndhbW04Z01HYzlGUjZraG9pSWs4X0IzTDVKSnRxVkR6ZlV4UWZHUERjTG04c0w2LUJWVjRCVlRrNWUtNUZHeUM2eGs4amVNdEUzVTU5M3ZSLTN1aWx5MTA?hl=en-IN&gl=IN&ceid=IN%3Aen,"India ranks 105th in 2024 Global Hunger Index, in 'serious' category"
50,Middle East,https://news.google.com/read/CBMiuwJBVV95cUxNQ2VhWlVJVXlPeHBCSWQ0MEoyOUxRamtWWTdURVNiQU44U3VvMmJlYzZUVFRRY1JERUNGSzdjUW96QWlJYW84Y19xU2pmYTJuVGdnNGkxdFRuV1dHUjRsRmMxS0g5SHljeXdRdVoxT0l0M0VpYnVzdFJJSTJ6OWdYbTBJMXhCM1l0eFdrV0JmYVFpeUdMR0NhOE9ySXdLNlJiYTVQVmhNX3hJOGI3REtpeVpXWHBZYlREckJ5UU82Q25NM0FlVng5N3pnR3hyRjEwckdHUGxkeGw5MDNKU1hBOU9kLXZZUllTZnlnMjVBdkZXbUpQamhsdnVuSDF1WndKLThMZHJsWTdQSnBhc1RyeHhDa2hOZVRxaVlYYy16bWFva1ZlMlJMY01OZ3JjekJQY2puLUxpanNUdU0?hl=en-IN&gl=IN&ceid=IN%3Aen,Iran warns US allies in Middle East against helping Israel: Report
51,Telangana,https://news.google.com/read/CBMi-AJBVV95cUxNeWxxZUMzZkZmSVhGb3N6OFcyZ3NPWGI2MHhYVHpXODBFdXFDazVDaTdJQ01XT1FaN2ZwM081bTQzcElXNzI2ZnN3UVBmMy1QajZHeHdMYm9ldWxKQThQWmlRM0ZETXZOMXpOTVFuemUwOHg0eHZ6Q2RwUHpHWmtwYXdhaGNaRTZvNE1jZmFZN0dzbUF3ZFJ1cF8yUk1yQ3B4dWFhMHlETTI2ZU5lMXo4U09wei1fSE1CNmZ5NVgzT1R5d1BCbjdhSFZnVGprQ1lIeEczc0w1ZWFPQU1tN0NsY3B4XzdYWEtUdmp3Z0E1THBOc2FOOF9rb3U3RVk4MkQ1SEtQVms4cl9qUW9hNUxKNXhGbDQ3aUJjc1hsRXQ5eEk1MmUzNUVheUFCZkZNRWwxMENHNmZCZ2hZSy1zSUF5VHFveDYxQ25XYWx2a2FidHJPajhFWVRxZ1dwMVhuRlZScTNzSElyQ1BNX2N5QlFZcXhHYkQ4ZG5J?hl=en-IN&gl=IN&ceid=IN%3Aen,"Sanju, Suryakumar, Hardik shine as India register 297/6"
52,New Delhi,https://news.google.com/read/CBMi0wJBVV95cUxNUnRzMC00UHhhRHRFVGJkSWh3MFNGU0NNOFRwNHBYdGxSS3Y3VlpaRGxkdmZoV2V6aTJFMzJ6WG04QURRbnVXMm5DVWpwM1ZLdFNISWhaQ1dBTFkzdldkVktPMW9wMDE0R01fYzM4SnBpYjllUmo3LW1FWE91YS1OWjlIUzd3Ri1MbEozVUZ5ZTg1dzJZc3l0QzR3c0JDcTQwSDhKNEU0S0F6bHVuVERMdVFVbU0yV2dFbHZnb19zaVc4dV9nR3lDb0plbmkxdzJ3MTJVMVNFY0tyaktERWJKendxTzRJRFhBMGtlWGZlMzlSQkE4SHNMMzF0Zmk5TWU2b2lwdmVYZVpwc1pLN1VRelBhNHJXWG5RTzJCcXV0NkZBS1JwU2p2Xzc2QmxvM1Z5MDNnN1hKRkh3U09mZElLeFZHLVFYVkF4N3hlSVpGUThMN3M?hl=en-IN&gl=IN&ceid=IN%3Aen,Gautam Adani emerges as highest wealth gainer: Forbes India List
53,New Delhi,https://news.google.com/read/CBMi_gJBVV95cUxQMHI5WW83aFVDVHNLbVVXaFhrSW5wRlRsUlJuVkxwZTZ0LWI2X3d2Q1RnTFhKLUxCTTVmMVRTSHYxSlpIalVMbnpZWk1OZm52MmJHdHhUN1c5OFBqVklINVBjSnRibGRaWTctOHQ4UVZvN2psZEpob2dvRUZPVTFzR1p5a18zOW4xUUhLQ3B1SG9sUU9EYzlFSFZVQ19IQlQzOFVpYUVWUzZaTW5QQXFSNy12ZWNSQXhnc29lUjJ3QlU1bkN0c1JuR2xYVWFiWW14eDhYRXNUVWNtYUFGSDhrUjJVdVVhTG8yd0FwWkxnRFhHWW45S3ZPSnh4QUplemlXVUNYeDdtc2FaMW5Ia3lENzlrWFA3VDkxWm81MnlqazJyWXNZSHY3N01WZkktU3hmTW5OaV9LOGxkSmpnTHJLNVdLWEtlRlVYalJkdHdVTVFVNFc3VV9yZ3d5bkttME9DSHRsWndHam91RVVnRFBOZERJQlZqMGxlang3SGRn?hl=en-IN&gl=IN&ceid=IN%3Aen,Less women judges due to fewer female lawyers: Justice Hima Kohli
54,Manipur,https://news.google.com/read/CBMi2gJBVV95cUxQVFYtc051ZllPa0Y1cVVaQ2Y2eGo5MnkxRVV3eklpaG1VWThiWGg1VjI3X1R6dHhWanUyWlZKQXhqXzJtVlBCdFFZNEo5UkFxbE1kUXVPTzBnWGNrS0p1X1ZSalBsclRXaW5tU1prakR5bGhab3R6ek5lN2RLWkVtZUZJcC1DaTkwQi1EN0tXN01uS0RDaHJXbUNDblhSZm94dVdQY3FUaWNUZnNVV0xnejZ0bmdENWc5aHpaLVJ5a3podVU5VkMwQ0hqaTdJQ0ltRkdmQTRKZDcyclU2Sm1LVDZjQ1NubWRmRy1UUVotbFNtcTc4clpYQ0szRHA0N1FzZTh3M0tjVE5TdmlLVUZWMS1zNk9EUGc1bm5FOVBwQWF6bjB4aHVsZEU1eV9ZWV9DMlluQ0lFLV9XVk9GRnVuLXQwNkFVV3NKb1I4NXRVMm1MYVFhVllFeDNR?hl=en-IN&gl=IN&ceid=IN%3Aen,Manipur Police Urge Public Support to Combat Rising Extortion
55,Arunachal Pradesh,https://news.google.com/read/CBMi5AJBVV95cUxPX1dZcHBjUXpKWE9oLTNKdm1RM29LV2R1akNWcHhCQUdCaS0wQjNZOGpSdFRYTlZvNVptcVNNN0IwQk5CLV8zR0xwTUpJQXNnRTMyQmRwZGt4TG5MaHJ3aGFsamt6TnpTN0h3XzNFZ0RlUUtlU3pQRFhzMWtRWGZyd2M3cTZvMFdnMnFhd0tjZEpHQlRJWWFSTVVkTFZfVXpPVDBDQm5YZHdmaXFXWHhORVdERDl2TE9KVFpCd0JGaVkxM1hzLUhHU0JKMHljbHpMeFF6WnFFeHRYbjFGc2xsRVZwU3Y4SWd0Um8xM2h5VHk2UG80cTJRQ2NGbUV3OXNZUkRsVlVydzN1djZ1Sm83N1hyaGZEZDF3UkRlRjRycndhUjRjekZ2ZVQ5Z0FBUkxYRk9YNjRUa1lKYk5GWEI2YmNKZlVQZlkwUmpkYUlhVDNsWlNZbFJpUzNhdWRSem9ra1kxUA?hl=en-IN&gl=IN&ceid=IN%3Aen,2 Arrested for Creating and Circulating Fake Pornographic Video
56,Sikkim,https://news.google.com/read/CBMi2AJBVV95cUxOUi1pMEhyRFJ6VEsxblBENFBBTXFRakhNUTBmQzhhZTFDTkNXTkRxaG4wbDVaQUJMZ3hYeGtjcUZXeVFfc19OR3hjaXR2VWdDajY4ZUdlX0dYRGNua3lKeHJCMFFBTV9uUEZTRFZCX1Jyc29iWUl2Y09uRU9mYnloR0FEZkZaRkdGWHNrUWpjdXpKYjU2SWg2eHNmQ1dNYldvZ2U0Y3NzYWdWb2UyN1dKaDdHT2VDYnZXb08tdHpxNjJ3c253UlZjTDRMS3poZFhxM1FSdklDZTFUT2M2YkNxZVJ2X1pJbFA2VXRHUU1SSDdMeDk0aVZLdThHRFJkREN1NHFLYmpWVFhpUnhKRlBDUWxaYnVrQk5fSlhoRU5yalpxTWhXVkp2cHFVcHB4S3BGZzE2MFBSUXdsT0lpV21Kb3IxOGRTbkdMZzZWNGVUUHdWMm05dXljSg?hl=en-IN&gl=IN&ceid=IN%3Aen,Rajnath Singh Dedicates 75 BRO Infrastructure Projects
57,Chennai train accident,https://news.google.com/read/CBMi6ARBVV95cUxOLVhhdUhwUDN4aWhOR2N4M0V3UkMyWlFFNTNHcUhVR1JkSHdoOU4zdlB1QUNwbDFsMVNuZnlRQXp1Z2pTX0V5ZG91LUlrUnNTT2tpU1hpYTBnUFdNMVliWktqSWdVYXc0ZUd2d19oVVhtRVBzRmFURmN0LUt1aXRwSUctUEhOTGd4Tlo4SmpZRi1rVlp0NnZOaUc0eGJtR2JtdTU2OWNJdGZId25sMnRKMmNjVHIxUnFFTFlnWGdld2ZuLXFKeEhGQkUxNWtrNS1hYlhOeWpNTFY4UnZGZ1ZkaEM4MC1HX0VUcG5GMkJHSVo4Z2dlcnJoV295c3hrN0phRENqR1FjVnZIWW5WcW94NEdWdkZYTHFrRWRwbVUwUC1uMnhBd2xjWXBqcTBCMDhITEdlUk5tQ1FfcXh5UVhIU09DQzJUQm5Pc0I3bEhzUFJlWG11T0o3c2pVek9Xa21VWFpqWnMxcm1rcnptZ2luN2ltTTdCZzlOTTZscWNWcjlWakc0UU1QQ3QtODBaY2d2T2xQUGVtSWlPa2QzRU00S1E3RDRaN29tOHlvelQ3Z2dkTHh4Y3FNZFFJbjVRMkpVVWdDQmU4Yk9pa1lsRTJsLThRNVEtNEFWa2xXRzFOeDFTQ3pkdjAzQW9GNHVCdWVUYWFVWEhSQUNCU1UwVmpDaWlDZEFtbVFldjFaTmNPaE9zR3RqVG9nVnk0NUtjX2dwcC1aaDl4aXpySFQ1X3VjaWZxRGtSdllnMkkyUHJQTHdqZXhOSHNWd3FWTXRlMVR6dmNkOWZ5TjZGUDY4enE3YW9pdkNwNm9L?hl=en-IN&gl=IN&ceid=IN%3Aen,13 coaches derail as express train rams into stationary train...
58,Durga Puja celebrations,https://news.google.com/read/CBMiyAVBVV95cUxOa29tbkVBQ1c4aVhHTHJTWFpUOW9vbXBEdkdQWklNdkItRDNHVU54RkJIZlpPZVJqN0hrUFJWLUFKajladGlhVjlxd3VFUlF4RWwtdTZVTWRSYnNseFQzVUNDLUxuVExCQkZRblBrd0RJem4tUzF3LVVHSVJMRFZ6MXI4b1p5eFByTWFmU1JNMjRhajJDNTc4Vm5JMVBxMm1HZHJBa2wxY2FkZm5TV1ZuQTFJbjhpWmZnSjdyZ3hESjRkV2tUQUtDRFR5dnNYb1B2Wk00enVuUGNNT1pwVV9YbUtPbmg5UmhPWlc5SHNZWTBQTG1abVB2OUc2Zm9CYWQyaUQwUHAtenNrVmxQcGl4TmpSTjJ3TTkyNmRDWFdGcHZDOVZ6YjE1Q3FYdDVqd1pmei1JZWZua1BvYVlzMDVxU0VYZ0dCY3JRaE90bWpCWW9OQjJ6VmpkemhlQzE0cU5oOHJGYjlhMTNOZjRyRG1Pd0JDc3c2dE5nN3JBOFY4TlJSc05NUzVyVjhTM3R4Snd6dERqUkNlWG1Xdmo2YnhrbzJOTzZ1M2k5dDVPOUVGWFAyUTNWQjdpQkVvN1lKWWQ3UDlFVGd4c0JMWkNfa1EwalBHRThjZ3F0RGxRQjJGMzRqcjlIaWhPVy1VZlp5MWQ4U2lORU5XcHB6cHpUZ1E5MzUzR3pFUkZlNHVLd0tITjFKZVlXbEZJdGZUVlp3Zk5lVS0ydVA4OGdlS181Z3EzeThYYzktUXZHcnByOWFXeS1neEZCWFoxb1otOVVpQlhpc0YtYW45SkhKZUx0Vm8xOWFIelZadUpuNnZoTHk1ZFlvZWFNLWpRcFA1NElyZVJhWkoxdHVKUnFmTWVOSXZDYkFFS1ZyajZEaUVGTHAxSjN1WC1KSV9id3R2TlZIeUFtLUxrNUZHSUJCT3k3blJ4bERLa1N3UWNF?hl=en-IN&gl=IN&ceid=IN%3Aen,"Amid reports of deities being desecrated during Durga Puja, M..."
59,PM Internship Scheme,https://news.google.com/read/CBMi9wRBVV95cUxNVXc3azdrempEa3VHR1pFdFEwWXdkVENMZDlWYTRXazM2amtSbDZiRXZVam56bklTd3JPbGM3Y0l2X3ExNkg1SGZNSW5QOUNiN2Rtcms4ckIxUm5OYUFxeTlHZUMwTGxwbjRiQjBwVTM1M3JMUXBFbmdlYWkwT1FWODJSNFkyeF91ejBreUwta3BKMldSZThMQzdpWjQtMWpzcEl2NzRxOWZJLVlWYU91RWFGbHBINWZkNnlVaENVZkVXMDVPVVVuN3JiQlI1ek0xTFVUYlczaUJ5blJaYjdEQm12c2UyV2VaZUxLYU9GMWlzX202UUZWaUhDMnhtRHNLNGlmTTNtRXpQRGxiTEtKc0N6SC1kTDF5MEdxMXZlZFYzcUVGd2dBSFFYYlpzeW9BMHgtVmFEMWF5SUpCZUlVSnVPRmJ6YmJKVGI0VGZHeVZ3UGhvcDhpcWdhMndFMmJ5SERhUEZYSlF2OHRNNEozS1dwQllHV1dpdVIxSERfVUZrTXVRb0tsY3VaVFUyNlBQYlNvb210MVRRV3pCTjBmUjc2V3d4SWdRclE0MlBRMlFPZkd3MXhUNS1ZdWxTdXVVMzJjbWJYaWhzcUp4WXR4WjFZaElCekRkaHpuNmhpZG5fYUFxY09GRTlmdENnUGhwSWF6aUpiQ3Zsei12Ym00RXNHR196UXRHRUFHS1Eyd3lIeEg2T1ZnYkNfUDBHMm1JS1g2Z0JMZGpVc3dQUjNNMkhiRFFiWE9kOWl2OFRpZEtfakpOc2hrZUNRN2l1NUlhdTBHbkxGSXBQQlYyVFJrQzE1NElCZUhGMlA5SHFlQW1ndGZ6TGNR?hl=en-IN&gl=IN&ceid=IN%3Aen,Unemployed youth can apply for PM internship scheme from Octo...
60,India News,https://news.google.com/read/CBMiugJBVV95cUxQbDRsbWRfaUFLbm1fZW9FMFZCMW9ZY094VTJySk4zT19UOVZWU3pkd2lQYkdETnlEajFYMDRhVlEwRklfVjVOQ0xnRzNNY3ZaY19raVZSVGZYREdzbXFJRzFmTmJHOVRhaE54Ylg5SUtQWG16OEJPVFpoMThHalVoclVwY0k1RTRlVWhodU1LMjljbS1hMld5aF9RYUpBY0pDcGlZNjFRa25VQTg2UGl0LWx1U0NleDZpMXM1S1dncFp0eXB3SjU1cS1sVE1MbjNJZkpkbTV0VFFXMjhlM0FSWWFPQmV2aTAtMzNEbHFuU2ptb3h0dWRwRU11dzU0VTEzZWdmcU9GVHlXRVUzMF9GV05KdjhBdG5aQldoc2stSVVYMGtOb256YUpFYVhXcXlZZ1BhRHBUSXlTZw?hl=en-IN&gl=IN&ceid=IN%3Aen,Ghaziabad Sub-Inspector Adopts Newborn Girl Found Abandoned In Bushes
61,India News,https://news.google.com/read/CBMizgJBVV95cUxQaG9nV0w2YVgyRUplSGN0cUJKV1ZHZ3hoZVVQN1c2bDVTb3p6MkJTUDZraEFPR0NTOGJrck8tcGVDV2dieTc5Ym85ekhwRzBFVUM4YWFjVXBFNTV5eUgzNEYxNVIxak0yN3Y3MHZCcE1JWDV2UVNKNFphb0k0d0NlRm92aWR0RlQxQUZldnpCVFRIOUJTOXBGZG5NckQyZ0NvRTdCazR0VnZfUWxQamtLWk4zVjl5amwyWlY0bThLenJGcWVudlhkZEtsUmhRTjhxVmtoeDBacklhckFtYzl0TUE5TEJIUjhvOTFrY0I0blh1SURTeG9xaHRoZzhhcEthUFlkeVZaRnpwY1ZDY0ZEYkJXdHZ3cW9KN0hUNHpZYzhzZTNxb2oxRlJzejZYdnduU3NGZUVzbnpmRGpsbzJqa2ZxZGRNclp2S29uR1Jn?hl=en-IN&gl=IN&ceid=IN%3Aen,'Sword of Danger...': Mohan Bhagwat Raises Red Flag Over Attack on Hindus in Bangladesh
62,India News,https://news.google.com/read/CBMi-gJBVV95cUxNS0ViVFpWeV8xVHU5aG5yWU5DVktjczNfY1Nuam9lQ1l0UERneldXakVKTndBN2NMSjlnbkRmWVFqYWdaVWE0dTdkUlktUUpIV3NDWFgxQkVLMXVPVW9TN2lRd1hOR2QxcjREM1pidXF5MHIyT0d0UGRtOVZuMk0tdUdDdFV5TDhSUDR6N0xfaTNnOHVoODg1ZDRMSHRaajdRWVI1ajd5RjhqUFJqdEYxUG5UaGhhZ0VTWHN0UnZKTGRPQ3lJTWg3bWIxOWNySC10ejdRRGVqMDN6Mlp6R0lCSEVSNnRXbEdZM0VjRi1lU05RUGFHRlpKNjA1S2ZqYS1QdnVrYkt2THdLNUtIMWJwcEw0NkVNTEhac09QaWJocUpvOENyekVMN2Q0WElOUlRGTE5lV1ZaNHloUEZYNG1tMGtGMWI3a1p0RURFLVI3TWxaR0ZfbDNxRDBtV29Oa0UxaWhFeUI3Q0RkNFZMU2dYbERtaW04UEdvaGc?hl=en-IN&gl=IN&ceid=IN%3Aen,Former Cricketer Ajay Jadeja Declared Jamnagar Royal Family's Heir
